titulo_youtube,fecha_sesion,url_youtube
"EN VIVO l Segunda Legislatura Ordinaria 2025, Sesión Ordinaria No.0010, miércoles 17 de Sept. 2025.",2025-09-17,https://www.youtube.com/watch?v=73V4cjafzZc
"EN VIVO l Segunda Legislatura Ordinaria 2025, Sesión Ordinaria No.008, martes 16 de sept.. 2025.",2025-09-16,https://www.youtube.com/watch?v=ogGPG_9y00Q
"EN VIVO l Segunda Legislatura Ordinaria 2025, Sesión Ordinaria No.006, miércoles 03 de sept.. 2025.",2025-09-03,https://www.youtube.com/watch?v=TLQlGD20ESg
"EN VIVO l Segunda Legislatura Ordinaria 2025, Sesión Ordinaria No.005, martes 02 de septiembre 2025.",2025-09-02,https://www.youtube.com/watch?v=uLt2uv-9BIk
"EN VIVO l Segunda Legislatura Ordinaria 2025, Sesión Ordinaria No.003, miércoles  27 agosto 2025.",2025-08-27,https://www.youtube.com/watch?v=YtUFZK8qOd0
"EN VIVO l Segunda Legislatura Ordinaria 2025, Sesión Ordinaria No.002, miércoles  20 agosto 2025.",2025-08-20,https://www.youtube.com/watch?v=MXMIBRRdQos
"EN VIVO l Apertura Segunda Legislatura Ordinaria 2025, Sesión Extraordinaria #001, 16 agosto 2025",2025-08-16,https://www.youtube.com/watch?v=31yXE9aVCGI
EN VIVO | Primera Legislatura Extraordinaria 2025. Sesión Ordinaria No.004 martes 05/08/2025.,2025-08-05,https://www.youtube.com/watch?v=a7I4u0iLAuo
EN VIVO | Primera Legislatura Extraordinaria 2025. Sesión Ordinaria #003 miércoles 30/07/2025.,2025-07-31,https://www.youtube.com/watch?v=WUv5zTmaR5Q
EN VIVO | Primera Legislatura Extraordinaria 2025. Sesión Ordinaria #003 miércoles 30/07/2025.,2025-07-30,https://www.youtube.com/watch?v=Lm4VzOUKCZw
EN VIVO | Primera Legislatura Extraordinaria 2025. Sesión Ordinaria #002 martes 29/07/2025.,2025-07-29,https://www.youtube.com/watch?v=wM8G8M1UuNA
EN VIVO | Primera Legislatura Extraordinaria 2025. Sesión Ordinaria #001 martes 29/07/2025.,2025-07-29,https://www.youtube.com/watch?v=6ioRMmhTog8
"EN VIVO │ Primera Legislatura Ordinaria de 2025, Sesión Extraordinaria No.058, viernes 25/07/2025.",2025-07-25,https://www.youtube.com/watch?v=P7EhDBR0yQM
"EN VIVO │ Primera Legislatura Ordinaria de 2025, Sesión Ordinaria No.056, jueves 24/07/2025.",2025-07-24,https://www.youtube.com/watch?v=pVRcL06AgsA
"EN VIVO │ Primera Legislatura Ordinaria de 2025, Sesión Ordinaria No.054, miércoles 23/07/2025.",2025-07-23,https://www.youtube.com/watch?v=ZI5M6lD7SK4
"EN VIVO │ Primera Legislatura Ordinaria de 2025, Sesión Ordinaria No.052, martes 22 /07/2025.",2025-07-22,https://www.youtube.com/watch?v=D0fHS6RNcSM
"EN VIVO │ Primera Legislatura Ordinaria de 2025, Sesión Extraordinaria No.051, lunes 21 /07 2025.",2025-07-21,https://www.youtube.com/watch?v=wzqv7riL2VM
"EN VIVO│Primera Legislatura Ordinaria de 2025, Sesión Extraordinaria No.050, viernes 18 /07 2025.",2025-07-18,https://www.youtube.com/watch?v=8fwzQfoGsSk
"EN VIVO │ Primera Legislatura Ordinaria de 2025, Sesión Ordinaria No.049, jueves 17 de julio 2025.",2025-07-17,https://www.youtube.com/watch?v=dGn4hc1AqKo
"EN VIVO │ Primera Legislatura Ordinaria de 2025, Sesión Ordinaria No.047,miercoles 16 de julio 2025.",2025-07-16,https://www.youtube.com/watch?v=o4qCmTwcmZs
"En vivo│Primera Legislatura Ordinaria de 2025, Sesión Ordinaria No.045, martes 15 de julio 2025.",2025-07-15,https://www.youtube.com/watch?v=asTg8J92Ay8
"En vivo│Primera Legislatura Ordinaria de 2025, Sesión Ordinaria No.044, jueves 10 de julio 2025.",2025-07-10,https://www.youtube.com/watch?v=SdHB7YcZ_JI
"En vivo│Primera Legislatura Ordinaria de 2025, Sesión Ordinaria No.043, miércoles 09 de julio 2025.",2025-07-09,https://www.youtube.com/watch?v=K9HPyC4QE4U
"En vivo│Primera Legislatura Ordinaria de 2025, Sesión Ordinaria No.042, martes 08 de julio 2025.",2025-07-08,https://www.youtube.com/watch?v=HOrWIOib_Xk
