titulo_youtube,fecha_sesion,url_youtube
Transmisión en vivo de la Instalación del Bufete Directivo 2021-2022 / Lunes 16 de agosto de 2021,2021-08-16,https://www.youtube.com/watch?v=HLCiBy6syGU
Transmisión en vivo de la sesión No. 00068 I Jueves 19 de agosto de 2021,2021-08-19,https://www.youtube.com/watch?v=2ZyH5FQzq0k
Transmisión en vivo de la sesión No. 00069 I Martes 24 de agosto de 2021,2021-08-24,https://www.youtube.com/watch?v=wsZCn1nm-i4
Transmisión en vivo de la sesión No. 00070 I Jueves 26 de agosto de 2021,2021-08-26,https://www.youtube.com/watch?v=9v7CY2Eq8Hs
Transmisión en vivo de la sesión No. 00071 I Martes 31 de agosto de 2021,2021-08-31,https://www.youtube.com/watch?v=hZjBpgaGOsY
Transmisión en vivo de la sesión No. 00072 I Jueves 02 de septiembre de 2021,2021-09-02,https://www.youtube.com/watch?v=SX1ZtDGsALo
Transmisión en vivo de la sesión No. 00073 I Martes 14 de septiembre de 2021,2021-09-14,https://www.youtube.com/watch?v=kq8AEn3_Ob8
Transmisión en vivo de la sesión No. 00074 I Martes 21 de septiembre de 2021,2021-09-21,https://www.youtube.com/watch?v=ls_EAry1M5w
Transmisión en vivo de la sesión No. 00075 I Martes 28 de septiembre de 2021,2021-09-28,https://www.youtube.com/watch?v=K_W9yysZVHo
Transmisión en vivo de la sesión No. 00076 I Martes 05 de octubre de 2021,2021-10-05,https://www.youtube.com/watch?v=ioptENa2poo
Transmisión en vivo de la sesión No. 00077 I Jueves 14 de octubre de 2021,2021-10-14,https://www.youtube.com/watch?v=LpLi2kuSYmo
Transmisión en vivo de la sesión No. 079 I Miércoles 20 de octubre de 2021,2021-10-20,https://www.youtube.com/watch?v=geUAEfQAi3o
Transmisión en vivo de la sesión No. 080 I Martes 26 de octubre de 2021,2021-10-26,https://www.youtube.com/watch?v=bPcFvZjyl7k
Transmisión en vivo de la sesión No. 081 I Martes 02 de Noviembre de 2021,2021-11-02,https://www.youtube.com/watch?v=evTiKMkjvhA
Transmisión en vivo de la sesión Extraordinaria No. 00082 I Sabado 06 de noviembre de 2021,2021-11-06,https://www.youtube.com/watch?v=I5TYQMCPKjE
Transmisión en vivo de la sesión No. 083 I Martes 09 de Noviembre de 2021,2021-11-09,https://www.youtube.com/watch?v=yH0IcoeVC-s
Transmisión en vivo de la sesión No. 084 I Martes 16 de Noviembre de 2021,2021-11-16,https://www.youtube.com/watch?v=N9LDxq-IY3U
Transmisión en vivo de la sesión No. 085 I Jueves 18 de Noviembre de 2021,2021-11-18,https://www.youtube.com/watch?v=5yYk1Cb-J_k
Transmisión en vivo de la sesión No. 086I Martes 23 de Noviembre de 2021,2021-11-23,https://www.youtube.com/watch?v=TlfWvvpylY4
Transmisión en vivo de la sesión No. 087 | Jueves 25 de Noviembre de 2021,2021-11-25,https://www.youtube.com/watch?v=4mpJ2iUd7YU
Transmisión en vivo de la sesión No. 088 | Martes 30 de Noviembre de 2021,2021-11-30,https://www.youtube.com/watch?v=fMdWo2m7gSU
Transmisión en vivo de la sesión No. 089 | Jueves 02 de Diciembre de 2021,2021-12-02,https://www.youtube.com/watch?v=a5u0zXssZjw
Transmisión en vivo de la sesión No. 091 | Martes 07 de diciembre de 2021,2021-12-07,https://www.youtube.com/watch?v=cdMfrzHcVsg
Transmisión en vivo de la sesión No. 092 | Jueves 09 de diciembre de 2021,2021-12-09,https://www.youtube.com/watch?v=if-yQRvTAKs
Transmisión en vivo de la sesión No. 093 | Lunes 13 de diciembre de 2021,2021-12-13,https://www.youtube.com/watch?v=w--HUEziy-M
Transmisión en vivo de la sesión No. 095 | Miércoles 15 de diciembre de 2021,2021-12-15,https://www.youtube.com/watch?v=CMYbqpLUPGk
Transmisión en vivo de la sesión No. 097 | Miércoles 05 de Enero de 2022,2022-01-05,https://www.youtube.com/watch?v=HjhaxEdmdPA
Transmisión en vivo de la sesión No. 098 | Martes 11 de Enero de 2022,2022-01-11,https://www.youtube.com/watch?v=qZbIVb-S-_0
Transmisión en vivo de la sesión No. 099| Miércoles 12 de Enero de 2022,2022-01-12,https://www.youtube.com/watch?v=DFlNLPJ50Yc
Transmisión en vivo de la sesión No. 101 | Miércoles 02 de Marzo de 2022,2022-03-02,https://www.youtube.com/watch?v=-ouCJGNbHKs
Transmisión en vivo de la sesión No. 102 | Miércoles 09 de Marzo de 2022,2022-03-09,https://www.youtube.com/watch?v=PxdNPq5gI8U
Transmisión en vivo de la sesión No. 103 | Miércoles 16 de Marzo de 2022,2022-03-16,https://www.youtube.com/watch?v=HfOPGHd2gmQ
Transmisión en vivo de la sesión No. 104 | Jueves 24 de Marzo de 2022,2022-03-24,https://www.youtube.com/watch?v=_K7TGX11sEI
Transmisión en vivo de la sesión No. 105 | Jueves 31 de Marzo de 2022,2022-03-31,https://www.youtube.com/watch?v=paTbxDF0Ga8
Transmisión en vivo de la sesión No. 106 | Miércoles 06 de Abril de 2022,2022-04-06,https://www.youtube.com/watch?v=GaSp2dnIqhs
Transmisión en vivo de la sesión No. 107 | Miércoles 20 de Abril de 2022,2022-04-20,https://www.youtube.com/watch?v=HmznNbYf24M
Transmisión en vivo de la sesión No. 109 | Martes 26 de Abril de 2022,2022-04-26,https://www.youtube.com/watch?v=HdEaIBXOVPQ
Transmisión en vivo de la sesión No. 110 | Miércoles 04 de Mayo de 2022,2022-05-04,https://www.youtube.com/watch?v=dGg68RRxAMs
Transmisión en vivo de la sesión No. 111 | Martes 10 de Mayo de 2022,2022-05-10,https://www.youtube.com/watch?v=glWBhdxgBiU
Graduación del programa Juventud prende y emprende en Santiago,2022-08-22,https://www.youtube.com/watch?v=XB3iM1dn87w
